Date_Time_UTC,0.00001,0.0001,0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000,0.00001_BTC_total,0.0001_BTC_total,0.001_BTC_total,0.01_BTC_total,0.1_BTC_total,1_BTC_total,10_BTC_total,100_BTC_total,1000_BTC_total,10000_BTC_total,100000_BTC_total,1000000_BTC_total,USD_0.00001_BTC,USD_0.0001_BTC,USD_0.001_BTC,USD_0.01_BTC,USD_0.1_BTC,USD_1_BTC,USD_10_BTC,USD_100_BTC,USD_1000_BTC,USD_10000_BTC,USD_100000_BTC,USD_1000000_BTC
2025-09-09 00:02:03 UTC+0000,6957456,12083643,13515873,11568838,7958322,3468768,830574,133044,17175,1977,82,4,40.69,510.52,5071,42838,268797,1068672,2061071,4305133,4964941,4353773,2185006,659581,4562132,57243010,568580342,4803264227,30139124928,119826033489,231099965832,482718001605,556699793489,488171837348,244996382912,73956273000
2025-09-09 03:54:58 UTC+0000,6957713,12081189,13521876,11570136,7958214,3468807,830589,133035,17174,1977,82,4,40.69,510.41,5074,42842,268783,1068714,2061187,4304798,4965856,4353566,2184561,659581,4533910,56874306,565365723,4773814540,29950066024,119085171940,229674954628,479676986616,553337668698,485111123084,243422232045,73496087010
2025-09-09 03:57:22 UTC+0000,6957713,12081189,13521876,11570136,7958214,3468807,830589,133035,17174,1977,82,4,40.69,510.41,5074,42842,268783,1068714,2061187,4304798,4965856,4353566,2184561,659581,4533910,56874306,565365723,4773814540,29950066024,119085171940,229674954628,479676986616,553337668698,485111123084,243422232045,73496087010
2025-09-09 04:14:04 UTC+0000,6957713,12081189,13521876,11570136,7958214,3468807,830589,133035,17174,1977,82,4,40.69,510.41,5074,42842,268783,1068714,2061187,4304798,4965856,4353566,2184561,659581,4535731,56897139,565592704,4775731114,29962090269,119132981829,229767163706,479869565615,553559820724,485305883761,243519960331,73525593956
2025-09-09 04:30:36 UTC+0000,6957771,12081291,13522194,11570351,7958164,3468796,830583,133024,17175,1977,82,4,40.69,510.42,5074,42842,268782,1068707,2061173,4304595,4966159,4353436,2184627,659581,4546520,57032607,566936443,4787083478,30032935856,119414384107,230309698950,480983409161,554904793485,486440836859,244104097353,73699730860
2025-09-09 12:01:03 UTC+0000,6958411,12082720,13508570,11565199,7958749,3469071,830586,133050,17175,1977,82,4,40.69,510.49,5068,42828,268800,1068813,2061114,4304399,4968464,4352246,2183797,659581,4583614,57497962,570846715,4823835553,30275910878,120384075253,232150299379,484819063931,559615012459,490208223193,245968443264,74290837784
2025-09-10 00:01:03 UTC+0000,6959438,12085904,13510856,11565842,7959358,3469265,830531,133099,17166,1979,82,4,40.70,510.67,5068,42828,268818,1068888,2060767,4306680,4964546,4352200,2185998,659581,4536576,56917236,564810407,4773496114,29961630358,119134846332,229686521426,480008901249,553332520265,485082393935,243644449248,73514798127
2025-09-10 12:01:02 UTC+0000,6961063,12087924,13522332,11572184,7961458,3469473,830524,133100,17179,1977,82,4,40.71,510.78,5071,42845,268884,1068938,2060883,4306412,4967885,4350396,2184733,659581,4571019,57345584,569362966,4810220269,30187615671,120009560801,231375175259,483480586003,557744094612,488418594718,245279833266,74051097720
2025-09-11 00:01:03 UTC+0000,6962478,12089690,13526920,11575018,7963983,3469463,830430,133013,17193,1976,83,4,40.72,510.87,5073,42851,268938,1068865,2060573,4303299,4971130,4339980,2195595,659581,4635710,58154207,577486355,4877891677,30614096572,121672549983,234561957331,489859003334,565880532302,494034557919,249932037078,75082320938
2025-09-11 12:01:04 UTC+0000,6963495,12090220,13533737,11580440,7965313,3469972,830442,133007,17215,1976,83,4,40.73,510.88,5076,42861,268977,1068970,2060337,4302196,4973872,4339674,2194611,659581,4643436,58241723,578700580,4886265325,30664217246,121866021925,234885106226,490464279460,567037549405,494736944856,250192785098,75194365748
2025-09-12 00:01:02 UTC+0000,6964873,12093029,13550416,11587236,7966548,3469395,830448,133005,17206,1980,82,4,40.74,511.03,5084,42877,269011,1068764,2060418,4302537,4972095,4352704,2183293,659581,4698733,58939054,586300814,4945094685,31025979910,123264074507,237634889830,496225885509,573448181408,502011747162,251806434153,76071654490
